Location,Highest Infection Count,Percent Population Infected,Population
Andorra,13232,17.125477254,77265
Montenegro,97389,15.506271674,628062
Czechia,1630758,15.227946036,10708982
San Marino,5066,14.927220225,33938
Slovenia,240292,11.558434812,2078932
Luxembourg,67205,10.736034608,625976
Bahrain,176934,10.398199794,1701583
Serbia,689557,10.133694932,6804596
United States,32346971,9.772420642,331002647
Israel,838481,9.687216547,8655541
Sweden,973604,9.640340341,10099270
Estonia,122019,9.198297223,1326539
Lithuania,247269,9.083121533,2722291
Netherlands,1522973,8.888148748,17134873
Belgium,990229,8.544105344,11589616
Panama,364576,8.449492534,4314768
France,5677835,8.331662086,68147687
Portugal,836493,8.203560228,10196707
Croatia,332183,8.091627636,4105268
Hungary,779348,8.067492379,9660350
Georgia,310310,7.778801381,3989175
Lebanon,526578,7.714928938,6825442
Liechtenstein,2926,7.672339198,38137
Switzerland,659974,7.625686079,8654618
Spain,3524077,7.537361472,46754783
Cyprus,65233,7.447548176,875899
Poland,2792142,7.377523030,37846605
North Macedonia,152367,7.313452179,2083380
Armenia,216064,7.291493011,2963234
Qatar,205652,7.138067239,2881060
Slovakia,382211,7.000659201,5459643
Jordan,711373,6.972098785,10203140
European Union,30771214,6.916137510,444919060
Brazil,14659011,6.896430071,212559409
Austria,618870,6.871446971,9006400
Malta,30292,6.860549125,441539
Italy,4022653,6.653211014,60461828
Argentina,2977363,6.587701767,45195777
United Kingdom,4432246,6.528954039,67886004
Kuwait,273991,6.415805129,4270563
North America,37529488,6.338667437,592072204
Latvia,118558,6.285540997,1886202
Chile,1198245,6.268214582,19116209
Monaco,2454,6.253185200,39244
Moldova,250837,6.218128426,4033963
Bosnia and Herzegovina,198461,6.049137181,3280815
Europe,44863478,5.992343039,748680069
Seychelles,5873,5.972137482,98340
Bulgaria,404380,5.819719376,6948445
Palestine,296462,5.811366883,5101416
South America,24878216,5.775426959,430759772
Turkey,4820591,5.715727209,84339067
Uruguay,198428,5.712250848,3473727
Colombia,2859724,5.620208163,50882884
Maldives,29835,5.519460097,540542
Romania,1055265,5.485406194,19237682
Peru,1799445,5.457519728,32971846
Kosovo,103638,5.362137529,1932774
United Arab Emirates,520236,5.260009706,9890400
Ireland,248870,5.040102912,4937796
Costa Rica,250991,4.927078585,5094114
Ukraine,2124070,4.856820105,43733759
Albania,131085,4.555042046,2877800
Denmark,251249,4.337710539,5792203
Cape Verde,23882,4.295416448,555988
Germany,3405365,4.064460082,83783945
Paraguay,279077,3.912735032,7132530
Belarus,358738,3.796442094,9449321
Oman,193253,3.784360777,5106622
Vatican,27,3.337453646,809
Greece,345033,3.310286350,10423056
Russia,4750755,3.255403145,145934460
Canada,1228367,3.254628505,37742157
Belize,12668,3.185948428,397621
Azerbaijan,319109,3.147287624,10139175
Iran,2499077,2.975341277,83992953
South Africa,1581210,2.666067991,59308690
Bahamas,10453,2.658119050,393248
Iraq,1065199,2.648266320,40222503
Tunisia,309119,2.615525775,11818618
