Date,Location,Highest Infection Count,Percent Population Infected,Population
4/30/2021,Andorra,13232,17.125477254,77265
4/29/2021,Andorra,13198,17.081472853,77265
4/28/2021,Andorra,13148,17.016760500,77265
4/27/2021,Andorra,13121,16.981815829,77265
4/26/2021,Andorra,13083,16.932634440,77265
4/25/2021,Andorra,13060,16.902866757,77265
4/24/2021,Andorra,13024,16.856273863,77265
4/23/2021,Andorra,13007,16.834271662,77265
4/22/2021,Andorra,12942,16.750145603,77265
4/21/2021,Andorra,12917,16.717789426,77265
4/20/2021,Andorra,12874,16.662136802,77265
4/18/2021,Andorra,12805,16.572833754,77265
4/19/2021,Andorra,12805,16.572833754,77265
4/17/2021,Andorra,12771,16.528829354,77265
4/16/2021,Andorra,12712,16.452468776,77265
4/14/2021,Andorra,12641,16.360577234,77265
4/15/2021,Andorra,12641,16.360577234,77265
4/13/2021,Andorra,12614,16.325632563,77265
4/12/2021,Andorra,12581,16.282922410,77265
4/11/2021,Andorra,12545,16.236329515,77265
4/10/2021,Andorra,12497,16.174205656,77265
4/9/2021,Andorra,12456,16.121141526,77265
4/8/2021,Andorra,12409,16.060311914,77265
4/7/2021,Andorra,12363,16.000776548,77265
4/6/2021,Andorra,12328,15.955477901,77265
4/5/2021,Andorra,12286,15.901119524,77265
4/4/2021,Andorra,12231,15.829935935,77265
4/3/2021,Andorra,12174,15.756163852,77265
4/2/2021,Andorra,12115,15.679803274,77265
4/1/2021,Andorra,12053,15.599559956,77265
3/31/2021,Andorra,12010,15.543907332,77265
4/30/2021,Montenegro,97389,15.506271674,628062
4/29/2021,Montenegro,97257,15.485254640,628062
3/30/2021,Andorra,11944,15.458487025,77265
4/28/2021,Montenegro,97080,15.457072709,628062
4/27/2021,Montenegro,96930,15.433189717,628062
4/26/2021,Montenegro,96779,15.409147505,628062
4/25/2021,Montenegro,96660,15.390200331,628062
3/29/2021,Andorra,11888,15.386009189,77265
4/24/2021,Montenegro,96499,15.364565919,628062
4/23/2021,Montenegro,96348,15.340523706,628062
3/28/2021,Andorra,11850,15.336827800,77265
4/22/2021,Montenegro,96187,15.314889294,628062
4/21/2021,Montenegro,96048,15.292757721,628062
3/27/2021,Andorra,11809,15.283763670,77265
4/20/2021,Montenegro,95894,15.268237849,628062
4/19/2021,Montenegro,95695,15.236553079,628062
4/30/2021,Czechia,1630758,15.227946036,10708982
4/18/2021,Montenegro,95551,15.213625406,628062
4/29/2021,Czechia,1628536,15.207197099,10708982
4/17/2021,Montenegro,95377,15.185921135,628062
3/26/2021,Andorra,11732,15.184106646,77265
4/28/2021,Czechia,1626033,15.183824195,10708982
4/16/2021,Montenegro,95205,15.158535304,628062
4/27/2021,Czechia,1622777,15.153419812,10708982
4/15/2021,Montenegro,95042,15.132582452,628062
4/26/2021,Czechia,1620206,15.129411927,10708982
3/25/2021,Andorra,11687,15.125865528,77265
4/25/2021,Czechia,1619383,15.121726790,10708982
4/24/2021,Czechia,1618068,15.109447378,10708982
4/14/2021,Montenegro,94859,15.103445201,628062
4/23/2021,Czechia,1615461,15.085103327,10708982
4/13/2021,Montenegro,94643,15.069053692,628062
3/24/2021,Andorra,11638,15.062447421,77265
4/22/2021,Czechia,1612832,15.060553842,10708982
4/12/2021,Montenegro,94419,15.033388423,628062
4/21/2021,Czechia,1609861,15.032810775,10708982
4/11/2021,Montenegro,94269,15.009505431,628062
3/23/2021,Andorra,11591,15.001617809,77265
4/20/2021,Czechia,1606030,14.997037067,10708982
4/10/2021,Montenegro,94035,14.972247963,628062
4/19/2021,Czechia,1602711,14.966044392,10708982
4/18/2021,Czechia,1601881,14.958293888,10708982
4/17/2021,Czechia,1600341,14.943913436,10708982
3/22/2021,Andorra,11545,14.942082444,77265
4/9/2021,Montenegro,93803,14.935308934,628062
4/30/2021,San Marino,5066,14.927220225,33938
4/16/2021,Czechia,1597103,14.913677136,10708982
4/29/2021,San Marino,5060,14.909540928,33938
4/28/2021,San Marino,5059,14.906594378,33938
3/21/2021,Andorra,11517,14.905843526,77265
4/27/2021,San Marino,5058,14.903647828,33938
4/8/2021,Montenegro,93566,14.897573806,628062
4/26/2021,San Marino,5055,14.894808180,33938
4/15/2021,Czechia,1593847,14.883272752,10708982
4/23/2021,San Marino,5047,14.871235783,33938
4/24/2021,San Marino,5047,14.871235783,33938
4/25/2021,San Marino,5047,14.871235783,33938
4/22/2021,San Marino,5045,14.865342684,33938
4/21/2021,San Marino,5044,14.862396134,33938
3/20/2021,Andorra,11481,14.859250631,77265
4/7/2021,Montenegro,93309,14.856654279,628062
4/20/2021,San Marino,5040,14.850609936,33938
